"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Relative Pressure (inHg)","Humidity (%)","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-05T09:56:00-05:00,2024-04-05 09:56:00,54,5,,40,0,30.16,47,565,29.87
2024-04-05T08:56:00-05:00,2024-04-05 08:56:00,50,7,,60,0,30.14,58,391,29.86
2024-04-05T07:56:00-05:00,2024-04-05 07:56:00,44,3,,360,0,30.14,70,192,29.86
2024-04-05T06:56:00-05:00,2024-04-05 06:56:00,37,3,,290,0,30.12,89,0,29.85
2024-04-05T05:56:00-05:00,2024-04-05 05:56:00,38,0,,0,0,30.1,92,0,29.82
2024-04-05T04:56:00-05:00,2024-04-05 04:56:00,39,0,,0,0,30.08,86,0,29.81
2024-04-05T03:56:00-05:00,2024-04-05 03:56:00,39,3,,10,0,30.07,79,0,29.79
2024-04-05T02:56:00-05:00,2024-04-05 02:56:00,44,0,,0,0,30.06,67,0,29.79
2024-04-05T01:56:00-05:00,2024-04-05 01:56:00,48,7,,40,0,30.05,54,0,29.77
2024-04-05T00:56:00-05:00,2024-04-05 00:56:00,46,3,,20,0,30.04,49,0,29.76
2024-04-04T23:56:00-05:00,2024-04-04 23:56:00,53,3,,350,0,30.02,32,0,29.74
2024-04-04T22:56:00-05:00,2024-04-04 22:56:00,57,9,,340,0,30,28,0,29.72
2024-04-04T21:56:00-05:00,2024-04-04 21:56:00,55,6,,340,0,29.97,30,0,29.7
2024-04-04T20:56:00-05:00,2024-04-04 20:56:00,58,8,,350,0,29.93,26,0,29.66
2024-04-04T19:56:00-05:00,2024-04-04 19:56:00,61,7,,330,0,29.91,20,0,29.63
2024-04-04T18:56:00-05:00,2024-04-04 18:56:00,64,8,,340,0,29.88,19,80,29.6
2024-04-04T17:56:00-05:00,2024-04-04 17:56:00,67,8,,320,0,29.86,19,286,29.58
2024-04-04T16:56:00-05:00,2024-04-04 16:56:00,68,7,,330,0,29.85,20,474,29.57
2024-04-04T15:56:00-05:00,2024-04-04 15:56:00,68,9,16,320,0,29.85,20,632,29.57
2024-04-04T14:56:00-05:00,2024-04-04 14:56:00,67,12,18,310,0,29.86,20,749,29.59
2024-04-04T13:56:00-05:00,2024-04-04 13:56:00,65,13,21,300,0,29.88,25,818,29.61
2024-04-04T12:56:00-05:00,2024-04-04 12:56:00,63,9,17,310,0,29.9,26,832,29.63
2024-04-04T11:56:00-05:00,2024-04-04 11:56:00,60,9,16,300,0,29.92,29,791,29.64
2024-04-04T10:56:00-05:00,2024-04-04 10:56:00,58,7,,290,0,29.93,36,699,29.65
2024-04-04T09:56:00-05:00,2024-04-04 09:56:00,55,8,17,310,0,29.92,40,561,29.64
2024-04-04T08:56:00-05:00,2024-04-04 08:56:00,53,6,,-1,0,29.91,48,386,29.63
2024-04-04T07:56:00-05:00,2024-04-04 07:56:00,46,0,,0,0,29.89,60,188,29.61
2024-04-04T06:56:00-05:00,2024-04-04 06:56:00,39,3,,260,0,29.86,76,0,29.59
